Model,Size,Latency,Streaming / Full-Duplex,Mac Compatible,Voice Cloning,Emotions,Watermarking,Semantic Extraction,License,Language Support,Notable Features,Personal Audio Notes,HuggingFace Link
AWS Nova Sonic v2,Not disclosed,Ultra-low (streaming),Yes – full-duplex,Cloud only,Doesn't say,Yes,Yes,"Yes (claimed, no clear verification)",Proprietary,Multilingual,Prompt-injectable emotions and filler words e.g. [laugh] That's funny,Very natural,https://aws.amazon.com/ai/generative-ai/nova/sonic/
NVIDIA PersonaPlex,7B,170ms (turn-taking) / 240ms (interruption),Yes – full-duplex concurrent listen/speak,Linux + NVIDIA GPU only,"Yes (voice prompt control, 0.650 SSIM)",No,Doesn't say,Yes,NVIDIA Open Model License,English only (24kHz),Dual-stream architecture; 90.8% smooth turn-taking; text prompt persona control,N/A — not tested locally,https://huggingface.co/nvidia/personaplex-7b-v1
VibeVoice-Realtime-0.5B,0.5B,~300ms,Yes – streaming text-in / audio-out,Yes,No (single speaker only),No,Yes (imperceptible + audible AI disclaimer),Doesn't say,MIT,"English (primary) + 9 experimental: German, French, Italian, Japanese, Korean, Dutch, Polish, Portuguese, Spanish",Acoustic tokenizer 3200x downsampling; diffusion-based decoding; up to 10 min continuous; multi-speaker TTS variant supports 90-min (full podcast),Surprisingly natural — almost the same feel as Nova Sonic 2,https://huggingface.co/microsoft/VibeVoice-Realtime-0.5B
Chatterbox,0.5B,<200ms,Not explicitly stated,Yes,Yes (zero-shot voice conversion),Yes (emotion exaggeration control),Yes (Perth watermarking — survives MP3 compression),Doesn't say,MIT,"Arabic, Danish, German, Greek, English, Spanish, Finnish, French, Hebrew, Hindi, Italian, Japanese, Korean, Malay, Dutch, Norwegian, Polish, Portuguese, Russian, Swedish, Swahili, Turkish, Chinese (23 languages)",0.5B Llama backbone; 0.5M hours training data; first open-source TTS with emotion exaggeration; CFG/Pace control,Very natural when you tune the correct exaggeration and weights,https://huggingface.co/ResembleAI/chatterbox
CosyVoice 3,0.5B,~150ms,Yes – bi-streaming (text-in & audio-out),Not yet implemented — too tedious,Yes (zero-shot + cross-lingual),"Yes (instruct-based, e.g. [laugh])",Doesn't say,Doesn't say,Apache 2.0,"Chinese, English, Japanese, Korean, German, Spanish, French, Italian, Russian + 18+ Chinese dialects",Pronunciation inpainting (Pinyin + CMU); 77.4-78% speaker similarity; 1.68% WER,Not yet tested — implementation too tedious,https://huggingface.co/FunAudioLLM/Fun-CosyVoice3-0.5B-2512
Dia-2B,1B or 2B (two variants),Can start with first few words,Yes – starts generating without full text,Yes,Yes (conditional via speaker prefixes),Limited (speaker tags [S1] [S2] only),No,No,Apache 2.0,English only (max 2 min audio),Two-persona dialogue model; word-level timestamps; Kyutai Mimi codec,Multiple persona dialogue sounds quite natural,https://huggingface.co/nari-labs/Dia2-1B
DiVA,8B,Not specified,No,"Yes — very difficult, took too long",No,No,No,No,Apache 2.0,"Multiple (CommonVoice dataset, mostly English in practice)",End-to-end voice assistant (speech + text); distillation-based; multimodal; based on Llama-3.1-8B,"Ugly, robotic",https://huggingface.co/WillHeld/DiVA-llama-3-v0-8b
fishspeech S1 mini,0.5B (mini) / 4B (full),Very slow on Mac (designed for CUDA),No,Yes — extremely annoying to set up,Yes,Yes (49 emotion + tone markers),No,No,CC-BY-NC-SA-4.0 (NON-COMMERCIAL ONLY),"English, Chinese, Japanese, German, French, Spanish, Korean, Arabic, Russian, Dutch, Italian, Polish, Portuguese (13 languages)",2M+ hours training; online RLHF; emotion tags: (laughing)(sobbing)(whispering)(angry)(sad)(excited)(surprised) and 40+ more,Sounds funny,https://huggingface.co/fishaudio/s1-mini
Kimi-Audio-7B-Instruct,7B,Not specified,Yes (chunk-wise streaming detokenizer),No – CUDA only,No,Yes (SER — speech emotion recognition),No,"Yes (ASR, AQA, AAC, SER, SEC/ASC)",MIT / Apache 2.0,"English, Chinese (13M+ hours training data)","ASR, audio QA, audio captioning, SER, sound event/scene classification; hybrid acoustic + semantic tokens",Not tested,https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct
Kokoro-82M TTS,82M,Blazing fast locally (no official claim),No,Yes,No (explicitly excluded),No,No,No,Apache 2.0,"American English, British English, Japanese, Mandarin Chinese, Spanish, French, Hindi, Italian, Brazilian Portuguese — 54 voices total","Extremely small (82M) but natural-sounding; StyleTTS 2 + ISTFTNet vocoder; trained on ~$1,000 compute",Very natural — surprising,https://huggingface.co/hexgrad/Kokoro-82M
Magpie TTS 357M,357M,Extremely fast (no official claim),"Yes (streaming voice agent, 20s chunks)",Yes,No (zero-shot explicitly removed),"No (enterprise NIM only, not in open model)",No,No,NVIDIA Open Model License,"English, Spanish, German, French, Vietnamese, Italian, Mandarin Chinese, Hindi, Japanese (9 languages)",5 fixed speakers; multi-codebook prediction; local transformer refinement; trained on 50K hours; built-in text normalization,Very natural — surprising,https://huggingface.co/nvidia/magpie_tts_multilingual_357m
Ming-Omni-TTS-0.5B,0.5B,3.1Hz (Patch-by-Patch compression),Not stated,Yes,Yes (zero-shot),"Yes (fine-grained, 76.7% accuracy)",No,No,Apache 2.0,"Chinese (primary), English, Cantonese","Unified speech + ambient sound + music generation; handles math/chemical equations; vocal controls: rate, pitch, volume, emotion, dialect; 0.83% WER (Chinese)",Ugly,https://huggingface.co/inclusionAI/Ming-omni-tts-0.5B
CSM-1B,1B,Slow,Not stated,Yes,Limited (base model — requires fine-tuning for specific voices),No,No,No,Apache 2.0,English (primary; limited non-English due to data contamination),Context-aware generation; multi-speaker dialogue; batch inference; CUDA graph compilation; native Transformers integration,Sounds great,https://huggingface.co/sesame/csm-1b
